I0,I1,I2,I3,I4,I5,I6,I7,I8
-0.000,-0.001,-0.001,-0.010,0.093,1.009,0.540,5.242,0.031
0.001,-0.001,0.002,-0.010,0.093,1.009,0.540,5.242,0.032
-0.000,-0.001,-0.001,-0.010,0.093,1.009,0.539,5.241,0.032
-0.000,-0.001,0.001,-0.010,0.093,1.009,0.539,5.241,0.032
0.002,-0.001,0.001,-0.010,0.093,1.009,0.538,5.241,0.032
-0.000,-0.001,0.001,-0.009,0.093,1.009,0.537,5.241,0.032
-0.002,0.000,0.001,-0.009,0.093,1.009,0.537,5.240,0.032
0.003,0.000,0.001,-0.010,0.093,1.009,0.537,5.242,0.032
0.002,0.000,0.001,-0.010,0.093,1.009,0.537,5.243,0.032
0.002,0.002,-0.001,-0.010,0.093,1.009,0.537,5.243,0.032
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.538,5.242,0.032
0.002,-0.001,0.001,-0.010,0.093,1.009,0.537,5.243,0.032
0.001,0.000,0.001,-0.009,0.093,1.009,0.537,5.244,0.032
0.001,0.002,-0.001,-0.009,0.093,1.009,0.536,5.244,0.032
-0.000,-0.001,0.001,-0.010,0.093,1.009,0.536,5.244,0.032
0.001,-0.001,0.001,-0.010,0.093,1.009,0.536,5.244,0.032
0.001,-0.001,-0.001,-0.009,0.092,1.009,0.536,5.243,0.032
-0.000,0.002,0.001,-0.009,0.092,1.009,0.535,5.241,0.032
0.001,-0.001,-0.002,-0.009,0.093,1.009,0.534,5.241,0.032
0.001,-0.002,0.001,-0.010,0.093,1.009,0.533,5.240,0.031
-0.000,0.000,0.001,-0.010,0.093,1.009,0.533,5.239,0.031
-0.000,0.000,-0.001,-0.009,0.093,1.010,0.533,5.238,0.031
-0.000,-0.001,0.001,-0.009,0.093,1.010,0.533,5.238,0.031
-0.000,0.000,0.001,-0.010,0.093,1.010,0.533,5.238,0.032
0.001,-0.002,0.002,-0.010,0.093,1.010,0.534,5.238,0.032
-0.000,-0.001,-0.001,-0.010,0.093,1.009,0.533,5.238,0.032
0.001,-0.001,-0.001,-0.010,0.093,1.009,0.533,5.238,0.032
-0.000,-0.001,-0.001,-0.010,0.093,1.008,0.533,5.238,0.031
0.001,-0.002,0.001,-0.010,0.093,1.008,0.532,5.239,0.031
0.001,0.000,-0.001,-0.009,0.094,1.009,0.533,5.241,0.031
-0.002,0.000,0.001,-0.010,0.094,1.009,0.533,5.241,0.031
-0.000,0.000,0.001,-0.010,0.094,1.009,0.535,5.241,0.031
-0.002,0.000,0.001,-0.009,0.093,1.009,0.535,5.241,0.031
-0.000,0.002,-0.001,-0.009,0.093,1.009,0.535,5.241,0.031
0.001,0.000,-0.001,-0.009,0.093,1.009,0.535,5.241,0.031
-0.000,0.000,-0.001,-0.009,0.093,1.009,0.535,5.241,0.031
0.002,0.000,-0.001,-0.009,0.093,1.009,0.534,5.241,0.031
-0.002,0.000,-0.001,-0.009,0.093,1.009,0.534,5.241,0.031
0.001,0.000,0.001,-0.009,0.094,1.009,0.533,5.242,0.031
0.001,0.000,0.001,-0.009,0.094,1.009,0.533,5.244,0.031
0.001,0.000,0.001,-0.010,0.093,1.009,0.533,5.243,0.031
-0.000,-0.002,-0.001,-0.010,0.093,1.009,0.533,5.243,0.031
-0.000,-0.001,-0.001,-0.010,0.093,1.009,0.532,5.242,0.031
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.532,5.241,0.030
0.001,-0.001,0.001,-0.010,0.093,1.009,0.532,5.240,0.030
-0.002,0.002,0.001,-0.010,0.093,1.010,0.533,5.240,0.031
0.001,-0.001,-0.001,-0.010,0.093,1.010,0.533,5.240,0.032
-0.000,-0.001,-0.001,-0.010,0.093,1.010,0.532,5.239,0.031
-0.000,-0.001,-0.001,-0.010,0.093,1.010,0.533,5.239,0.031
0.001,-0.001,-0.001,-0.010,0.093,1.010,0.533,5.239,0.030
-0.000,-0.002,-0.001,-0.010,0.093,1.010,0.533,5.238,0.030
0.001,-0.001,0.001,-0.010,0.093,1.010,0.534,5.238,0.031
0.001,0.000,0.001,-0.010,0.093,1.010,0.535,5.238,0.031
-0.000,-0.001,-0.001,-0.010,0.093,1.010,0.535,5.238,0.031
