I0,I1,I2,I3,I4,I5,I6,I7,I8
-0.000,0.001,-0.001,0.001,0.906,-0.373,7.023,111.805,-115.110
-0.001,-0.003,0.000,0.001,0.906,-0.372,6.971,111.808,-115.084
-0.000,-0.001,-0.001,0.001,0.906,-0.372,6.956,111.807,-115.094
0.001,-0.000,-0.001,0.001,0.906,-0.372,6.945,111.807,-115.148
-0.001,-0.001,-0.001,0.001,0.906,-0.372,6.932,111.801,-115.169
-0.000,-0.000,-0.001,0.001,0.905,-0.372,6.982,111.793,-115.190
-0.001,-0.000,-0.001,0.001,0.907,-0.372,6.988,111.794,-115.171
-0.001,0.001,-0.001,0.001,0.907,-0.372,7.014,111.778,-115.294
-0.000,-0.000,0.000,0.001,0.907,-0.373,7.003,111.785,-115.277
-0.000,-0.000,0.003,0.001,0.906,-0.372,6.989,111.793,-115.219
-0.001,-0.000,-0.001,0.001,0.906,-0.372,6.996,111.794,-115.196
-0.000,-0.001,0.000,0.001,0.906,-0.372,6.984,111.802,-115.146
-0.001,-0.000,-0.001,0.002,0.906,-0.372,6.966,111.805,-115.122
-0.001,-0.001,-0.001,0.002,0.906,-0.372,6.985,111.799,-115.144
0.001,-0.001,-0.001,0.001,0.906,-0.372,7.029,111.786,-115.184
-0.000,-0.000,0.001,0.001,0.906,-0.372,7.111,111.774,-115.224
-0.000,0.001,0.000,0.001,0.906,-0.372,7.183,111.759,-115.283
-0.000,-0.000,-0.002,0.001,0.906,-0.372,7.171,111.756,-115.308
-0.000,-0.000,0.001,0.001,0.906,-0.373,7.172,111.761,-115.309
-0.000,-0.001,0.000,0.001,0.906,-0.373,7.184,111.761,-115.329
-0.003,-0.001,0.000,0.001,0.906,-0.372,7.155,111.767,-115.298
-0.000,-0.000,0.000,0.002,0.906,-0.372,7.118,111.772,-115.295
-0.001,-0.001,0.000,0.002,0.906,-0.372,7.142,111.766,-115.338
-0.001,-0.000,0.000,0.001,0.907,-0.373,7.143,111.777,-115.277
-0.001,0.001,0.000,0.001,0.906,-0.372,7.110,111.779,-115.315
0.001,-0.001,0.001,0.001,0.906,-0.373,7.106,111.787,-115.259
-0.001,-0.000,0.000,0.001,0.906,-0.373,7.070,111.803,-115.155
-0.001,-0.000,-0.001,0.001,0.906,-0.372,7.033,111.806,-115.102
-0.000,-0.000,-0.001,0.001,0.906,-0.373,7.000,111.818,-114.989
-0.000,-0.000,0.000,0.001,0.906,-0.373,7.010,111.811,-115.075
0.001,-0.001,0.000,0.001,0.906,-0.372,7.026,111.801,-115.148
-0.001,-0.000,0.001,0.001,0.906,-0.373,7.028,111.801,-115.178
0.002,-0.003,0.000,0.001,0.906,-0.373,7.020,111.808,-115.163
-0.003,-0.001,0.000,0.001,0.906,-0.372,7.076,111.790,-115.213
-0.000,-0.001,0.000,0.001,0.906,-0.372,7.092,111.784,-115.255
-0.000,-0.000,-0.001,0.001,0.906,-0.373,7.049,111.786,-115.361
0.001,-0.000,0.000,0.001,0.906,-0.373,7.084,111.786,-115.410
-0.001,-0.001,0.000,0.001,0.906,-0.372,7.101,111.777,-115.512
0.001,-0.000,-0.001,0.002,0.907,-0.372,7.104,111.774,-115.555
-0.000,-0.000,0.000,0.002,0.907,-0.372,7.054,111.784,-115.509
-0.000,-0.000,0.000,0.001,0.907,-0.372,7.047,111.783,-115.528
0.002,-0.000,0.000,0.001,0.907,-0.372,7.049,111.782,-115.522
0.001,-0.000,0.000,0.001,0.907,-0.373,7.081,111.782,-115.467
-0.000,-0.000,0.001,0.001,0.907,-0.373,7.058,111.795,-115.382
0.001,-0.000,0.001,0.001,0.906,-0.372,7.055,111.789,-115.440
-0.001,-0.000,-0.001,0.001,0.906,-0.372,7.053,111.790,-115.410
-0.000,-0.001,0.000,0.001,0.906,-0.372,7.035,111.798,-115.343
0.001,-0.000,0.000,0.001,0.907,-0.373,6.991,111.814,-115.216
-0.000,-0.001,0.000,0.001,0.907,-0.373,6.917,111.838,-115.027
-0.000,-0.003,-0.001,0.001,0.906,-0.372,6.940,111.828,-115.023
-0.001,-0.000,0.000,0.001,0.906,-0.372,6.941,111.826,-114.980
-0.001,-0.001,0.000,0.001,0.907,-0.372,6.960,111.816,-115.005
0.001,-0.003,0.000,0.001,0.907,-0.372,6.984,111.806,-115.045
0.001,-0.000,-0.001,0.001,0.906,-0.372,6.952,111.812,-115.035
0.001,-0.001,-0.001,0.001,0.906,-0.372,7.008,111.796,-115.127
-0.000,-0.000,-0.001,0.001,0.906,-0.372,7.045,111.790,-115.115
-0.001,-0.000,-0.001,0.001,0.906,-0.373,7.169,111.764,-115.281
-0.000,-0.003,0.000,0.001,0.906,-0.372,7.110,111.775,-115.234
-0.000,0.001,0.000,0.001,0.906,-0.372,7.099,111.772,-115.232
-0.000,-0.001,-0.002,0.001,0.906,-0.373,7.096,111.776,-115.244
-0.000,-0.001,0.000,0.001,0.906,-0.372,7.088,111.775,-115.246
-0.000,-0.001,0.000,0.001,0.907,-0.373,7.064,111.778,-115.243
-0.000,0.001,0.000,0.001,0.907,-0.373,7.037,111.787,-115.222
-0.003,-0.001,-0.001,0.001,0.906,-0.372,7.046,111.786,-115.231
0.001,-0.003,-0.001,0.001,0.906,-0.372,7.066,111.782,-115.241
-0.000,-0.000,0.001,0.001,0.906,-0.372,7.046,111.787,-115.191
-0.000,-0.000,0.000,0.001,0.906,-0.372,7.035,111.796,-115.141
-0.000,-0.000,0.001,0.001,0.906,-0.373,7.014,111.806,-115.081
0.001,-0.001,0.000,0.001,0.906,-0.373,7.072,111.796,-115.157
-0.000,-0.000,0.001,0.001,0.906,-0.372,7.078,111.790,-115.211
-0.000,-0.001,0.000,0.001,0.906,-0.372,6.945,111.818,-115.078
-0.000,-0.001,-0.001,0.001,0.906,-0.373,6.920,111.823,-115.052
-0.001,-0.000,-0.001,0.001,0.906,-0.373,6.934,111.820,-115.071
-0.001,-0.000,0.000,0.001,0.907,-0.372,6.939,111.813,-115.132
0.001,0.001,-0.001,0.001,0.907,-0.372,6.937,111.808,-115.194
0.001,0.001,0.000,0.001,0.906,-0.372,6.911,111.808,-115.194
-0.000,-0.000,0.000,0.002,0.906,-0.373,6.869,111.816,-115.172
-0.000,-0.000,0.000,0.002,0.906,-0.373,6.881,111.817,-115.212
-0.001,-0.001,0.000,0.002,0.906,-0.372,6.823,111.829,-115.164
-0.001,-0.000,-0.001,0.001,0.906,-0.372,6.780,111.839,-115.073
-0.000,-0.001,0.000,0.001,0.906,-0.372,6.769,111.839,-115.034
-0.000,-0.001,0.000,0.001,0.906,-0.372,6.797,111.830,-115.035
-0.000,-0.001,-0.002,0.001,0.906,-0.372,6.833,111.826,-115.009
0.001,0.001,0.000,0.001,0.906,-0.372,6.916,111.809,-115.063
0.002,-0.000,0.000,0.001,0.906,-0.372,6.944,111.798,-115.130
-0.001,-0.000,-0.001,0.001,0.905,-0.372,6.958,111.795,-115.156
-0.001,-0.000,0.000,0.001,0.906,-0.372,6.987,111.790,-115.192
-0.000,-0.001,0.000,0.001,0.906,-0.372,6.951,111.804,-115.125
-0.001,-0.001,-0.001,0.001,0.907,-0.372,6.949,111.795,-115.163
0.001,-0.000,0.000,0.002,0.906,-0.372,6.913,111.799,-115.148
0.002,-0.001,-0.001,0.001,0.906,-0.373,6.961,111.792,-115.190
-0.000,-0.000,-0.001,0.001,0.906,-0.373,6.993,111.788,-115.248
-0.000,-0.000,-0.001,0.001,0.906,-0.372,7.014,111.786,-115.283
-0.000,-0.001,0.000,0.001,0.906,-0.373,7.094,111.774,-115.343
-0.000,-0.000,-0.001,0.001,0.906,-0.373,7.088,111.776,-115.388
-0.001,0.001,0.001,0.001,0.906,-0.373,7.108,111.787,-115.314
-0.003,0.001,0.000,0.001,0.906,-0.372,7.123,111.781,-115.349
0.001,-0.001,0.000,0.001,0.906,-0.372,7.130,111.775,-115.324
-0.000,-0.000,0.000,0.001,0.906,-0.372,7.046,111.784,-115.307
-0.000,-0.003,-0.001,0.001,0.907,-0.372,7.061,111.780,-115.324
-0.000,-0.000,0.000,0.001,0.907,-0.373,7.057,111.785,-115.288
-0.000,-0.001,0.001,0.001,0.907,-0.373,6.987,111.802,-115.218
0.001,-0.000,0.000,0.001,0.906,-0.372,6.960,111.800,-115.275
0.001,-0.001,0.000,0.001,0.906,-0.372,7.030,111.777,-115.436
-0.000,-0.000,0.000,0.001,0.907,-0.372,6.948,111.791,-115.381
0.001,-0.003,0.000,0.001,0.907,-0.372,6.957,111.789,-115.378
-0.000,-0.001,-0.001,0.001,0.907,-0.372,6.957,111.794,-115.315
-0.000,-0.003,0.000,0.001,0.906,-0.372,7.007,111.786,-115.291
-0.001,-0.003,0.000,0.001,0.906,-0.372,6.982,111.795,-115.234
-0.000,-0.000,0.000,0.000,0.906,-0.372,6.992,111.790,-115.297
-0.000,-0.001,-0.001,0.000,0.906,-0.372,6.971,111.800,-115.240
-0.000,-0.000,0.001,0.001,0.906,-0.371,6.906,111.795,-115.275
-0.000,-0.001,0.001,0.001,0.906,-0.372,6.905,111.789,-115.305
0.001,-0.001,0.000,0.001,0.906,-0.372,6.881,111.795,-115.260
-0.001,-0.000,0.000,0.001,0.906,-0.372,6.929,111.792,-115.255
0.001,-0.000,0.000,0.001,0.906,-0.372,6.916,111.797,-115.238
-0.001,-0.000,0.001,0.001,0.907,-0.372,6.827,111.817,-115.108
-0.001,0.001,0.000,0.001,0.907,-0.372,6.826,111.815,-115.104
-0.001,-0.001,-0.001,0.001,0.906,-0.372,6.863,111.811,-115.126
-0.000,0.002,-0.001,0.002,0.906,-0.372,6.844,111.820,-115.073
-0.001,-0.000,0.000,0.002,0.906,-0.372,6.844,111.827,-115.018
-0.000,-0.000,0.000,0.001,0.906,-0.372,6.848,111.827,-114.981
0.001,-0.003,-0.001,0.001,0.906,-0.372,6.876,111.822,-114.947
-0.001,-0.000,-0.001,0.001,0.906,-0.372,6.867,111.821,-114.915
-0.000,-0.001,-0.001,0.001,0.906,-0.372,6.866,111.815,-114.906
-0.000,-0.001,-0.001,0.001,0.906,-0.373,6.922,111.801,-114.982
0.001,-0.000,0.000,0.002,0.906,-0.373,6.960,111.797,-115.050
-0.001,0.001,0.000,0.002,0.906,-0.373,6.938,111.805,-115.043
-0.000,-0.000,0.000,0.001,0.906,-0.372,6.937,111.805,-115.025
-0.001,0.001,0.001,0.001,0.906,-0.372,6.967,111.797,-115.054
